==============================================================
  DZIENNIK POMIARÓW TACHIMETRYCZNYCH
  Pomiar biegunowy — wielobok 20-kątny + monitoring pkt 7
==============================================================

  Data pomiaru  : 2025-03-01 do 2025-05-31
  Operator      : [nazwisko operatora]
  Instrument    : Tachimetr elektroniczny
  Nr dziennika  : DZ-2025/01

--------------------------------------------------------------
  STANOWISKO I NAWIĄZANIE
--------------------------------------------------------------
  Model         : Topcon GPT-9003M
  Nr seryjny     : 123456
  Dokł. kątowa  :  5"
  Dokł. długości :  2 mm + 2 ppm
  Stanowisko O  :  X₀ = 1000.000 m    Y₀ = 1000.000 m
  Nawiązanie A  :  X_A = 1000.000 m    Y_A = 1200.000 m
  Azymut O->A   :    0°00'00"
  Odczyt Hz na A:  0°00'00"

==============================================================
  OBSERWACJE
==============================================================

  Pkt       Data                          Hz       D [m]
  --------  ------------  ------------------  ----------
  1         2025-03-01            180°00'00"     130.000
  2         2025-03-01            156°58'46"     134.335
  3         2025-03-01            136°27'58"     145.072
  4         2025-03-01            119°03'22"     157.334
  5         2025-03-01            103°57'13"     166.596
  6         2025-03-01             90°00'00"     170.000
  7         2025-03-01             76°02'47"     166.596
  --------  ------------  ------------------  ----------
  7_01      2025-03-01              76°12'26"     165.961
  7_02      2025-03-02              75°10'45"     167.052
  7_03      2025-03-03              77°44'11"     165.416
  7_04      2025-03-04              76°24'01"     168.170
  7_05      2025-03-05              75°46'48"     166.849
  7_06      2025-03-06              74°41'33"     169.528
  7_07      2025-03-07              76°00'22"     170.256
  7_08      2025-03-08              76°54'24"     164.809
  7_09      2025-03-09              74°29'04"     170.384
  7_10      2025-03-10              76°01'43"     168.652
  7_11      2025-03-11              77°41'57"     169.473
  7_12      2025-03-12              75°12'13"     168.417
  7_13      2025-03-13              76°21'54"     172.034
  7_14      2025-03-14              75°39'12"     170.983
  7_15      2025-03-15              77°17'51"     171.472
  7_16      2025-03-16              77°41'02"     170.658
  7_17      2025-03-17              75°42'32"     160.750
  7_18      2025-04-01              74°28'47"     168.073
  7_19      2025-04-02              77°18'53"     171.874
  7_20      2025-04-03              77°05'53"     172.888
  7_21      2025-04-04              76°01'21"     170.508
  7_22      2025-04-05              74°48'23"     172.392
  7_23      2025-04-06              75°28'17"     173.967
  7_24      2025-04-07              75°18'57"     174.343
  7_25      2025-04-08              76°17'15"     169.206
  7_26      2025-04-09              74°55'41"     171.020
  7_27      2025-04-10              72°55'55"     173.764
  7_28      2025-04-11              76°37'18"     168.906
  7_29      2025-04-12              74°14'18"     176.729
  7_30      2025-04-13              74°47'14"     175.519
  7_31      2025-04-14              76°03'20"     178.041
  7_32      2025-04-15              75°43'37"     168.219
  7_33      2025-04-16              77°23'14"     175.788
  7_34      2025-04-17              75°13'57"     174.289
  7_35      2025-05-01              74°35'22"     173.762
  7_36      2025-05-02              73°06'46"     178.555
  7_37      2025-05-03              76°18'23"     176.205
  7_38      2025-05-04              76°12'54"     172.225
  7_39      2025-05-05              76°18'57"     177.815
  7_40      2025-05-06              74°33'49"     175.733
  7_41      2025-05-07              75°30'50"     172.805
  7_42      2025-05-08              76°04'25"     168.557
  7_43      2025-05-09              74°44'15"     174.416
  7_44      2025-05-10              75°42'20"     180.212
  7_45      2025-05-11              75°13'32"     177.441
  7_46      2025-05-12              74°40'00"     181.107
  7_47      2025-05-13              76°29'28"     176.920
  7_48      2025-05-14              75°08'03"     180.474
  7_49      2025-05-15              75°39'01"     181.431
  7_50      2025-05-16              76°10'45"     183.838
  --------  ------------  ------------------  ----------
  8         2025-03-01             60°56'38"     157.334
  9         2025-03-01             43°32'02"     145.072
  10        2025-03-01             23°01'14"     134.335
  11        2025-03-01              0°00'00"     130.000
  12        2025-03-01            336°58'46"     134.335
  13        2025-03-01            316°27'58"     145.072
  14        2025-03-01            299°03'22"     157.334
  15        2025-03-01            283°57'13"     166.596
  16        2025-03-01            270°00'00"     170.000
  17        2025-03-01            256°02'47"     166.596
  18        2025-03-01            240°56'38"     157.334
  19        2025-03-01            223°32'02"     145.072
  20        2025-03-01            203°01'14"     134.335

==============================================================
  KONIEC DZIENNIKA OBSERWACJI
==============================================================
