==============================================================================
  DZIENNIK POMIAROW TACHIMETRYCZNYCH
==============================================================================
  Data raportu   : 2026-06-01 21:46:14
  Stanowisko O   : X0 = 1000.000 m   Y0 = 1000.000 m
  Nawiazanie A   : Xa = 1000.000 m   Ya = 1200.000 m
  Dokl. katowa   : 5.0"
  Dokl. dlugosci : 2.0 mm + 2.0 ppm
==============================================================================

  OBSERWACJE I OBLICZENIA
------------------------------------------------------------------------------------------------------------
Pkt      Data                   Hz     D[m]     dX[m]     dY[m]       X[m]       Y[m]  mX[mm]  mY[mm]  mP[mm]
------------------------------------------------------------------------------------------------------------
1        2025-03-01     180°00'00"  130.000    +0.000  -130.000   1000.000    870.000   3.151   2.260   3.878
2        2025-03-01     156°58'46"  134.335   +52.533  -123.637   1052.533    876.363   3.126   2.446   3.969
3        2025-03-01     136°27'58"  145.072   +99.923  -105.172   1099.923    894.828   2.998   2.937   4.197
4        2025-03-01     119°03'22"  157.334  +137.533   -76.412   1137.533    923.588   2.743   3.518   4.461
5        2025-03-01     103°57'13"  166.596  +161.680   -40.172   1161.680    959.828   2.465   3.959   4.664
6        2025-03-01     090°00'00"  170.000  +170.000    +0.000   1170.000   1000.000   2.340   4.121   4.739
7        2025-03-01     076°02'47"  166.596  +161.680   +40.172   1161.680   1040.172   2.465   3.959   4.664
7_01     2025-03-01     076°12'26"  165.961  +161.175   +39.567   1161.175   1039.567   2.459   3.946   4.650
7_02     2025-03-02     075°10'45"  167.052  +161.494   +42.731   1161.494   1042.731   2.483   3.960   4.674
7_03     2025-03-03     077°44'11"  165.416  +161.641   +35.136   1161.641   1035.136   2.432   3.949   4.638
7_04     2025-03-04     076°24'01"  168.170  +163.455   +39.543   1163.455   1039.543   2.465   4.000   4.699
7_05     2025-03-05     075°46'48"  166.849  +161.737   +40.986   1161.737   1040.986   2.471   3.962   4.670
7_06     2025-03-06     074°41'33"  169.528  +163.514   +44.755   1163.514   1044.755   2.503   4.011   4.729
7_07     2025-03-07     076°00'22"  170.256  +165.203   +41.171   1165.203   1041.171   2.481   4.044   4.745
7_08     2025-03-08     076°54'24"  164.809  +160.524   +37.335   1160.524   1037.335   2.443   3.927   4.625
7_09     2025-03-09     074°29'04"  170.384  +164.175   +45.578   1164.175   1045.578   2.512   4.029   4.747
7_10     2025-03-10     076°01'43"  168.652  +163.663   +40.719   1163.663   1040.719   2.474   4.007   4.709
7_11     2025-03-11     077°41'57"  169.473  +165.582   +36.105   1165.582   1036.105   2.447   4.045   4.727
7_12     2025-03-12     075°12'13"  168.417  +162.832   +43.011   1162.832   1043.011   2.488   3.992   4.704
7_13     2025-03-13     076°21'54"  172.034  +167.186   +40.555   1167.186   1040.555   2.481   4.090   4.784
7_14     2025-03-14     075°39'12"  170.983  +165.651   +42.368   1165.651   1042.368   2.491   4.057   4.761
7_15     2025-03-15     077°17'51"  171.472  +167.275   +37.705   1167.275   1037.705   2.462   4.087   4.771
7_16     2025-03-16     077°41'02"  170.658  +166.730   +36.402   1166.730   1036.402   2.452   4.072   4.753
7_17     2025-03-17     075°42'32"  160.750  +155.775   +39.681   1155.775   1039.681   2.447   3.819   4.536
7_18     2025-04-01     074°28'47"  168.073  +161.944   +44.973   1161.944   1044.973   2.501   3.975   4.696
7_19     2025-04-02     077°18'53"  171.874  +167.679   +37.743   1167.679   1037.743   2.463   4.097   4.780
7_20     2025-04-03     077°05'53"  172.888  +168.523   +38.603   1168.523   1038.603   2.471   4.119   4.803
7_21     2025-04-04     076°01'21"  170.508  +165.459   +41.185   1165.459   1041.185   2.481   4.051   4.750
7_22     2025-04-05     074°48'23"  172.392  +166.366   +45.181   1166.366   1045.181   2.514   4.079   4.792
7_23     2025-04-06     075°28'17"  173.967  +168.404   +43.642   1168.404   1043.642   2.507   4.124   4.827
7_24     2025-04-07     075°18'57"  174.343  +168.649   +44.194   1168.649   1044.194   2.512   4.131   4.835
7_25     2025-04-08     076°17'15"  169.206  +164.383   +40.110   1164.383   1040.110   2.471   4.023   4.721
7_26     2025-04-09     074°55'41"  171.020  +165.137   +44.471   1165.137   1044.471   2.505   4.049   4.761
7_27     2025-04-10     072°55'55"  173.764  +166.111   +51.001   1166.111   1051.001   2.562   4.085   4.822
7_28     2025-04-11     076°37'18"  168.906  +164.322   +39.081   1164.322   1039.081   2.464   4.020   4.715
7_29     2025-04-12     074°14'18"  176.729  +170.084   +48.006   1170.084   1048.006   2.546   4.172   4.888
7_30     2025-04-13     074°47'14"  175.519  +169.368   +46.057   1169.368   1046.057   2.528   4.152   4.861
